Ex1 (OOP) Simulator log: stage ./data/Ex1_input/Ex1_Buildings/B3.json,  B3_d.csv
0.0,OOP_Ex1_Elevator_Simulator
0.0,Simulated Building, Building [-10,100]
0) ex1.Elevator_A, Elev_, id,0,  speed, 3.0, open: 2.0,  start: 3.0, close: 2.0,  stop: 3.0
1) ex1.Elevator_A, Elev_, id,1,  speed, 7.0, open: 1.4285714285714286,  start: 2.142857142857143, close: 1.4285714285714286,  stop: 2.142857142857143

0.0,Simulated Period starTime,0.0,  endTime,3719.437366,  dt,1.0
0.0,Simulated  calls,Elevator log, size: 1000
0.0,**** Simulation starts!! ****
5.0,Elevator call,4.181791417,-7,-4,1,1, got allocated to elevator, 1
5.0, elevID,1,  pos,0,  cmd, goto,-7
10.0,Elevator call,9.088234751,-8,24,1,1, got allocated to elevator, 1
14.0,Elev,1,  arrived at src, -7, Elevator call,4.181791417,-7,-4,2,1
14.0, elevID,1,  pos,-7,  cmd, goto,-8
22.0,Elev,1,  arrived at src, -8, Elevator call,9.088234751,-8,24,2,1
22.0, elevID,1,  pos,-8,  cmd, goto,-4
24.0,Elevator call,23.23592412,-5,-3,1,0, got allocated to elevator, 0
24.0, elevID,0,  pos,0,  cmd, goto,-5
26.0,Elevator call,25.40148987,-4,86,1,1, got allocated to elevator, 1
27.0,Elevator call,26.51034155,-3,-4,1,1, got allocated to elevator, 1
30.0,Elev,1,  arrived at dest, -4, this call is done!, Elevator call,4.181791417,-7,-4,3,1, Done, dt, 25.818208583
30.0,Elev,1,  arrived at src, -4, Elevator call,25.40148987,-4,86,2,1
30.0, elevID,1,  pos,-4,  cmd, goto,-3
36.0,Elev,0,  arrived at src, -5, Elevator call,23.23592412,-5,-3,2,0
36.0, elevID,0,  pos,-5,  cmd, goto,-3
38.0,Elev,1,  arrived at src, -3, Elevator call,26.51034155,-3,-4,2,1
38.0, elevID,1,  pos,-3,  cmd, goto,24
47.0,Elev,0,  arrived at dest, -3, this call is done!, Elevator call,23.23592412,-5,-3,3,0, Done, dt, 23.76407588
48.0,Elevator call,47.13611508,-4,93,1,1, got allocated to elevator, 1
49.0,Elevator call,48.17946318,-7,5,1,0, got allocated to elevator, 0
49.0, elevID,0,  pos,-3,  cmd, goto,-7
